orgunituid	sitename	operatingunit	operatingunituid	countryname	snu1	snu1uid	psnu	psnuuid	snuprioritization	typemilitary	dreams	primepartner	fundingagency	mech_code	mech_name	pre_rgnlztn_hq_mech_code	prime_partner_duns	award_number	communityuid	community	communityprioritization	facilityuid	facility	facilityprioritization	sitetype	indicator	numeratordenom	indicatortype	disaggregate	standardizeddisaggregate	categoryoptioncomboname	ageasentered	trendsfine	trendssemifine	trendscoarse	sex	statushiv	statustb	statuscx	hiv_treatment_status	otherdisaggregate	otherdisaggregate_sub	modality	fiscal_year	targets	qtr1	qtr2	qtr3	qtr4	cumulative	source_name
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"50+, Female, Physical and/or Emotional Violence"	50+	50+	50+	15+	Female					Physical and/or Emotional Violence			2020					43	43	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"25-29, Female, Sexual Violence (Post-Rape Care)"	25-29	25-29	25-49	15+	Female					Sexual Violence Post-Rape Care			2021			92		97	189	DATIM
I4c9hkYKwVF	Molepolole Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	I4c9hkYKwVF	Molepolole Tebelopele Centre		Facility	GEND_GBV	N	DSD	ViolenceServiceType	ViolenceServiceType	Sexual Violence (Post-Rape Care)										Sexual Violence Post-Rape Care			2020	130					0	DATIM
mU56qZzEcD4	Mogoditshane Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	VB7am4futjm	Gaborone District	3 - Scale-Up	mU56qZzEcD4	Mogoditshane Clinic	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Total Numerator	Total Numerator	default						Positive							2019			37			37	Derived
mU56qZzEcD4	Mogoditshane Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	VB7am4futjm	Gaborone District	3 - Scale-Up	mU56qZzEcD4	Mogoditshane Clinic	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"Unknown Age, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	Unknown Age	Unknown Age	Unknown Age	Unknown Age	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2019			46			46	DATIM
qkMLylLGCwI	Siga Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	South East District	YksWHI1yLuv	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	YksWHI1yLuv	South East District	3 - Scale-Up	qkMLylLGCwI	Siga Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					6	6	DATIM
f21vSN4g9a2	Tonota Clinic	Botswana	l1KFEXKI4Dg	Botswana	North East District	wZl8hXAOSB0	Francistown District	h1CepDrLWib	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	h1CepDrLWib	Francistown District		f21vSN4g9a2	Tonota Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					25	25	DATIM
keYcmHhQYse	Jubilee Clinic	Botswana	l1KFEXKI4Dg	Botswana	North East District	wZl8hXAOSB0	Francistown District	h1CepDrLWib	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	h1CepDrLWib	Francistown District		keYcmHhQYse	Jubilee Clinic	4 - Sustained	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					82	82	DATIM
z7vtseOlw9H	Newtown Clinic	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Serowe District	YmeyoDakwFX	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	YmeyoDakwFX	Serowe District		z7vtseOlw9H	Newtown Clinic	4 - Sustained	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					88	88	DATIM
Gj07aQZkyXN	Kopong Clinic	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	Gj07aQZkyXN	Kopong Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					83	83	DATIM
hmXPdsPKRb3	Kediretswe Clinic	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Palapye District	TcLMNlsgbcz	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	TcLMNlsgbcz	Palapye District		hmXPdsPKRb3	Kediretswe Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					89	89	DATIM
lqs57YNZ97e	Phase II Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	VB7am4futjm	Gaborone District	3 - Scale-Up	lqs57YNZ97e	Phase II Clinic	3 - Scale-Up	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					5	5	DATIM
E0T0grlsdC1	Lekgwapheng Health Post	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	E0T0grlsdC1	Lekgwapheng Health Post		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					9	9	DATIM
qoJWuD0anQJ	Bamalete Lutheran Hospital	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	South East District	YksWHI1yLuv	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	YksWHI1yLuv	South East District	3 - Scale-Up	qoJWuD0anQJ	Bamalete Lutheran Hospital	3 - Scale-Up	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					6	6	DATIM
GxiG4By4Epg	Mmashoro Clinic	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Serowe District	YmeyoDakwFX	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	YmeyoDakwFX	Serowe District		GxiG4By4Epg	Mmashoro Clinic	4 - Sustained	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					96	96	DATIM
elOOcABltZH	Tati Siding Clinic	Botswana	l1KFEXKI4Dg	Botswana	North East District	wZl8hXAOSB0	Francistown District	h1CepDrLWib	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	h1CepDrLWib	Francistown District		elOOcABltZH	Tati Siding Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					93	93	DATIM
H3ZPhy7cVf5	Extension II Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	VB7am4futjm	Gaborone District	3 - Scale-Up	H3ZPhy7cVf5	Extension II Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					10	10	DATIM
C28eLCQak1W	Airstrip Clinic	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Mahalapye District	iY69BUSqcnC	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	iY69BUSqcnC	Mahalapye District	3 - Scale-Up	C28eLCQak1W	Airstrip Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					25	25	DATIM
OA4OJTLqsNA	Boseja II Clinic	Botswana	l1KFEXKI4Dg	Botswana	Kgatleng District	HQWVsxPWw8B	Kgatleng District	yNcvm7JYBfi	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	yNcvm7JYBfi	Kgatleng District	3 - Scale-Up	OA4OJTLqsNA	Boseja II Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					77	77	DATIM
PJSu3EAWNr8	Extension 3 Clinic	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Palapye District	TcLMNlsgbcz	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	TcLMNlsgbcz	Palapye District		PJSu3EAWNr8	Extension 3 Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					65	65	DATIM
mnEA7WPrOET	Kgosing Clinic	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	mnEA7WPrOET	Kgosing Clinic		Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					3	3	DATIM
APvzWdUZrhV	Pitsane Clinic	Botswana	l1KFEXKI4Dg	Botswana	Southern	PnQKlXXlzLS	Goodhope District	y8A4MNQse4l	4 - Sustained	N	N	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	y8A4MNQse4l	Goodhope District	3 - Scale-Up	APvzWdUZrhV	Pitsane Clinic	3 - Scale-Up	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					52	52	DATIM
Iu7pYnPanph	Kanye Main Clinic	Botswana	l1KFEXKI4Dg	Botswana	Southern	PnQKlXXlzLS	Southern District	LEUjALXInGD	4 - Sustained	N	Y	UNIVERSITY OF WASHINGTON	HHS/HRSA	18163	Technical assistance to strengthen government health systems	18163	605799469	U91HA06801	LEUjALXInGD	Southern District	3 - Scale-Up	Iu7pYnPanph	Kanye Main Clinic	3 - Scale-Up	Facility	EMR_SITE	N	Not Applicable	Service Delivery Area	Service Delivery Area	Service Delivery Area - HIV Testing Services										Service Delivery Area - HIV Testing Services			2019					35	35	DATIM
